Runs,Dismissed
1.0,1
48.0,1
13.0,1
15.0,1
152.0,1
1.0,1
55.0,1
83.0,1
71.0,1
9.0,1
73.0,1
132.0,1
75.0,1
8.0,1
87.0,1
14.0,1
16.0,1
1.0,1
5.0,1
106.0,1
4.0,0
1.0,1
88.0,1
28.0,1
26.0,1
3.0,1
7.0,1
6.0,1
33.0,1
5.0,1
17.0,1
2.0,1
1.0,1
14.0,1
1.0,1
77.0,1
6.0,1
61.0,1
5.0,1
38.0,1
12.0,1
14.0,1
3.0,1
20.0,1
26.0,1
81.0,1
100.0,1
12.0,1
10.0,1
56.0,1
64.0,1
73.0,1
29.0,1
51.0,1
43.0,1
56.0,1
29.0,1
145.0,1
1.0,1
49.0,1
1.0,1
86.0,1
16.0,1
136.0,1
102.0,1
29.0,1
34.0,1
112.0,1
21.0,1
9.0,1
100.0,1
18.0,1
1.0,1
64.0,1
55.0,1
24.0,1
45.0,1
26.0,1
89.0,1
68.0,1
81.0,1
15.0,1
5.0,1
9.0,1
82.0,1
18.0,1
22.0,1
10.0,1
1.0,1
5.0,1
48.0,1
23.0,1
114.0,1
44.0,1
37.0,1
96.0,1
79.0,1
10.0,1
186.0,0
3.0,1
73.0,1
35.0,1
1.0,1
11.0,1
34.0,1
54.0,0
1.0,1
18.0,1
161.0,1
13.0,1
65.0,1
13.0,1
32.0,1
44.0,1
17.0,1
5.0,1
14.0,1
2.0,1
84.0,1
31.0,1
95.0,0
119.0,1
3.0,1
58.0,0
2.0,1
78.0,1
6.0,1
22.0,1
42.0,1
3.0,1
28.0,1
9.0,1
9.0,1
9.0,1
3.0,1
12.0,1
32.0,1
3.0,1
50.0,1
1.0,1
2.0,1
12.0,1
65.0,1
16.0,1
14.0,1
104.0,1
44.0,1
1.0,1
45.0,1
42.0,1
90.0,1
59.0,1
99.0,0
17.0,1
2.0,1
1.0,1
29.0,1
2.0,1
36.0,1
42.0,1
6.0,1
1.0,1
1.0,1
12.0,1
49.0,1
11.0,1
65.0,1
1.0,1
1.0,1
109.0,1
4.0,1
2.0,1
72.0,1
36.0,1
8.0,1
56.0,1
137.0,1
35.0,1
21.0,1
20.0,1
2.0,1
46.0,1
2.0,1
29.0,1
7.0,1
84.0,1
109.0,1
74.0,1
21.0,1
33.0,1
66.0,0
126.0,1
27.0,1
34.0,1
45.0,1
8.0,1
12.0,1
22.0,1
14.0,1
43.0,1
6.0,1
52.0,1
58.0,1
5.0,1
38.0,1
21.0,1
1.0,1
52.0,1
23.0,1
9.0,1
14.0,1
10.0,1
